"Name","Version","Type","Homepage","Usage","License","IntegrationMechanism"
"github.com/davecgh/go-spew","1.1.1","OSS","https://github.com/davecgh/go-spew","AsIs","ISC License","Go"
"github.com/golang/go","1.21.10","OSS","https://github.com/golang/go","AsIs","BSD 3-Clause ""New"" or ""Revised"" License","Go"
"github.com/mitchellh/colorstring","0.0.0-20190213212951-d06e56a500db","OSS","https://github.com/mitchellh/colorstring","AsIs","MIT License","Go"
"github.com/pmezard/go-difflib","1.0.0","OSS","https://github.com/pmezard/go-difflib","AsIs","BSD 3-Clause ""New"" or ""Revised"" License","Go"
"github.com/rivo/uniseg","0.4.7","OSS","https://github.com/rivo/uniseg","AsIs","MIT License","Go"
"github.com/schollz/progressbar/v3","3.14.3","OSS","https://github.com/schollz/progressbar/v3","AsIs","MIT License","Go"
"github.com/stretchr/testify","1.9.0","OSS","https://github.com/stretchr/testify","AsIs","MIT License","Go"
"golang.org/x/sys","0.20.0","OSS","https://golang.org/x/sys","AsIs","BSD 3-Clause ""New"" or ""Revised"" License","Go"
"golang.org/x/term","0.20.0","OSS","https://golang.org/x/term","AsIs","BSD 3-Clause ""New"" or ""Revised"" License","Go"
"gopkg.in/yaml.v3","3.0.1","OSS","https://gopkg.in/yaml.v3","AsIs","Apache License 2.0","Go"
